timestamp,rmssd,coverage,low_frequency,high_frequency
2023-09-21T04:20:00,122.7,0.925,2495.094,1471.815
2023-09-21T04:25:00,113.988,0.852,3709.062,2071.239
2023-09-21T04:30:00,81.592,0.988,1988.45,1061.976
2023-09-21T04:35:00,72.57,1.002,774.021,821.673
2023-09-21T04:40:00,62.336,0.982,455.768,722.367
2023-09-21T04:45:00,57.998,1.004,575.779,543.754
2023-09-21T04:50:00,57.38,0.996,801.242,486.131
2023-09-21T04:55:00,91.939,0.897,2898.935,1630.937
2023-09-21T05:00:00,77.715,1.004,2279.406,788.327
2023-09-21T05:05:00,126.707,0.996,5522.553,2691.599
2023-09-21T05:10:00,124.782,0.992,3632.208,2190.678
2023-09-21T05:15:00,76.115,0.991,1187.141,896.392
2023-09-21T05:20:00,93.081,0.999,2187.463,918.759
2023-09-21T05:25:00,119.352,0.982,6478.917,2250.468
2023-09-21T05:30:00,127.366,0.932,16315.233,2854.803
2023-09-21T05:35:00,95.451,0.972,4170.32,1596.74
2023-09-21T05:40:00,63.708,0.981,3125.971,717.316
2023-09-21T05:45:00,86.431,0.901,4422.745,1188.268
2023-09-21T05:50:00,74.133,0.988,5107.988,856.571
2023-09-21T05:55:00,58.789,0.976,2192.093,737.286
2023-09-21T06:00:00,89.797,0.941,2810.514,1805.745
2023-09-21T06:05:00,112.019,1.004,4799.281,2395.462
2023-09-21T06:10:00,103.097,0.976,3942.696,2658.19
2023-09-21T06:15:00,74.084,0.966,2242.839,1163.775
2023-09-21T06:20:00,115.721,0.97,8761.66,2673.799
2023-09-21T06:25:00,81.586,0.985,2297.396,1209.409
2023-09-21T06:30:00,73.687,0.987,1233.17,1148.542
2023-09-21T06:35:00,71.707,1.003,1557.211,1319.346
2023-09-21T06:40:00,73.743,0.995,3900.883,1472.539
2023-09-21T06:45:00,64.641,0.996,2322.443,883.452
2023-09-21T06:50:00,70.595,1.004,2299.931,1354.658
2023-09-21T06:55:00,62.883,0.858,824.782,697.084
2023-09-21T07:00:00,87.539,1.006,4715.249,1294.144
2023-09-21T07:05:00,85.794,0.988,3732.541,1244.341
2023-09-21T07:10:00,125.106,0.953,6598.302,2485.35
2023-09-21T07:15:00,143.355,0.906,8190.449,3896.41
2023-09-21T07:20:00,100.591,0.869,9014.372,1811.756
2023-09-21T07:25:00,80.829,0.929,1164.841,1174.462
2023-09-21T07:30:00,87.404,0.863,4123.611,1287.055
2023-09-21T07:35:00,79.671,1.001,1358.83,1198.705
2023-09-21T07:40:00,73.411,0.929,4119.936,1228.313
2023-09-21T07:45:00,77.973,0.989,1038.424,1055.09
2023-09-21T07:50:00,69.652,0.945,6613.179,770.684
2023-09-21T07:55:00,55.811,0.979,499.997,515.305
2023-09-21T08:00:00,80.036,0.929,8240.674,1170.722
2023-09-21T08:05:00,76.066,1.002,1297.775,1088.724
2023-09-21T08:10:00,91.43,0.853,6765.938,1044.739
2023-09-21T08:15:00,75.79,1.004,3206.407,1371.001
2023-09-21T08:25:00,28.31,0.895,1720.335,384.2
2023-09-21T08:30:00,24.88,1.002,869.63,192.565
2023-09-21T08:35:00,26.199,1.002,698.878,138.004
2023-09-21T08:40:00,14.677,0.992,750.286,40.859
2023-09-21T08:45:00,29.9,1.003,1430.447,292.91
2023-09-21T08:50:00,41.477,1.005,1180.149,359.792
2023-09-21T08:55:00,44.963,0.989,1039.66,440.121
2023-09-21T09:00:00,43.089,1.001,283.076,384.847
2023-09-21T09:05:00,53.122,0.902,7445.961,532.717
2023-09-21T09:10:00,70.884,0.99,1858.106,1000.24
2023-09-21T09:15:00,67.374,0.99,2365.195,736.087
2023-09-21T09:20:00,114.704,1.005,2350.826,2962.553
2023-09-21T09:25:00,70.215,0.996,1753.241,962.716
2023-09-21T09:30:00,53.166,1.004,1604.871,591.27
2023-09-21T09:35:00,62.45,1.003,549.049,630.492
2023-09-21T09:40:00,71.705,0.996,2640.458,1589.236
2023-09-21T09:45:00,82.534,1.003,1209.669,1429.225
2023-09-21T09:50:00,78.529,0.879,11221.004,1087.425
2023-09-21T09:55:00,104.786,0.953,6816.468,2095.306
2023-09-21T10:00:00,134.872,0.977,4724.185,4533.049
2023-09-21T10:05:00,148.034,0.995,16561.957,4075.057
2023-09-21T10:10:00,126.916,0.997,6701.142,3488.852
2023-09-21T10:15:00,131.368,0.986,8823.115,3244.836
2023-09-21T10:20:00,137.763,0.989,4161.903,4239.752
2023-09-21T10:25:00,148.459,0.955,4390.826,5698.121
2023-09-21T10:30:00,130.576,0.977,5275.144,2665.111
2023-09-21T10:35:00,131.649,0.984,2600.954,3339.933
2023-09-21T10:40:00,81.316,0.992,3200.825,1172.367
2023-09-21T10:45:00,166.153,0.98,2864.768,6155.561
