timestamp,rmssd,coverage,low_frequency,high_frequency
2023-09-26T02:15:00,123.644,0.957,4008.574,2967.893
2023-09-26T02:20:00,53.978,0.932,1352.358,451.6
2023-09-26T02:25:00,55.357,0.94,1207.736,388.572
2023-09-26T02:30:00,51.177,0.943,492.994,322.104
2023-09-26T02:35:00,51.981,1.001,641.244,489.456
2023-09-26T02:40:00,49.986,1.003,239.952,490.493
2023-09-26T02:45:00,50.406,1.003,334.121,441.183
2023-09-26T02:50:00,51.23,0.994,379.232,526.549
2023-09-26T02:55:00,54.127,0.993,1421.611,593.679
2023-09-26T03:00:00,46.355,0.997,392.269,446.052
2023-09-26T03:05:00,56.857,0.962,1246.557,565.139
2023-09-26T03:10:00,68.283,1.005,814.388,1067.411
2023-09-26T03:15:00,54.44,0.999,979.485,503.119
2023-09-26T03:20:00,50.982,0.993,626.735,418.315
2023-09-26T03:25:00,61.639,1.005,1358.939,955.537
2023-09-26T03:30:00,60.486,0.898,12243.606,895.244
2023-09-26T03:35:00,40.338,0.964,2282.852,463.156
2023-09-26T03:40:00,46.542,1.003,1792.793,512.046
2023-09-26T03:45:00,48.199,0.999,2919.44,756.354
2023-09-26T03:50:00,47.971,0.936,3077.283,490.632
2023-09-26T03:55:00,58.192,1.004,1496.3,837.219
2023-09-26T04:00:00,80.698,1.0,2134.769,1598.189
2023-09-26T04:05:00,72.385,0.996,2899.89,1055.623
2023-09-26T04:10:00,74.645,1.006,2746.764,1233.0
2023-09-26T04:15:00,66.62,0.998,469.378,767.423
2023-09-26T04:20:00,88.582,0.901,5761.81,722.622
2023-09-26T04:25:00,71.775,1.0,850.973,817.851
2023-09-26T04:30:00,88.932,1.0,3091.943,1529.624
2023-09-26T04:35:00,68.839,0.993,360.847,668.791
2023-09-26T04:40:00,61.533,1.003,756.359,594.128
2023-09-26T04:45:00,71.675,1.0,901.782,735.485
2023-09-26T04:50:00,68.846,0.95,489.682,695.049
2023-09-26T04:55:00,94.38,1.004,4873.509,1402.044
2023-09-26T05:00:00,88.685,0.957,3167.133,1390.051
2023-09-26T05:05:00,80.335,0.961,4571.354,1256.258
2023-09-26T05:10:00,73.493,0.983,2613.616,794.081
2023-09-26T05:15:00,82.634,0.951,3629.933,1563.481
2023-09-26T05:20:00,88.686,0.994,5723.261,1463.421
2023-09-26T05:25:00,82.331,0.99,3667.47,1146.022
2023-09-26T05:30:00,72.473,0.952,4561.653,1044.872
2023-09-26T05:35:00,79.811,0.927,884.138,1428.875
2023-09-26T05:40:00,78.292,1.002,569.95,1233.011
2023-09-26T05:45:00,87.36,1.008,1885.538,1573.216
2023-09-26T05:50:00,82.623,0.985,961.708,1199.285
2023-09-26T05:55:00,79.285,0.997,807.927,1412.328
2023-09-26T06:00:00,87.402,0.997,1424.886,1639.989
2023-09-26T06:05:00,82.863,0.906,5375.757,1929.3
2023-09-26T06:10:00,88.045,1.006,6794.24,1433.903
2023-09-26T06:15:00,100.795,0.947,3373.784,1500.639
2023-09-26T06:20:00,87.134,0.976,4534.29,1402.36
2023-09-26T06:25:00,88.399,0.977,2973.344,1029.377
2023-09-26T06:30:00,129.52,0.945,6355.65,1572.034
2023-09-26T06:35:00,111.704,0.941,5270.27,2142.263
2023-09-26T06:40:00,87.792,0.943,6317.33,1848.565
2023-09-26T06:45:00,125.679,0.924,4126.806,2424.262
2023-09-26T06:50:00,80.972,0.997,3524.246,1340.986
2023-09-26T06:55:00,64.105,0.933,1175.725,781.651
2023-09-26T07:00:00,79.461,0.942,5105.883,1307.874
2023-09-26T07:05:00,61.41,0.982,1000.232,888.783
2023-09-26T07:10:00,67.216,0.895,3181.829,641.3
2023-09-26T07:15:00,65.354,0.954,777.732,965.842
2023-09-26T07:20:00,92.26,0.895,824.996,1380.859
2023-09-26T07:30:00,97.975,0.89,3927.682,1399.151
2023-09-26T07:35:00,90.867,0.881,2186.569,1118.405
2023-09-26T07:40:00,92.113,0.951,3468.915,837.161
2023-09-26T07:45:00,68.545,0.96,5189.234,741.44
2023-09-26T07:50:00,68.117,0.836,8997.932,674.424
2023-09-26T07:55:00,77.266,0.878,12093.507,727.552
2023-09-26T08:00:00,85.878,0.923,4158.424,1368.353
2023-09-26T08:05:00,70.253,0.887,4865.124,559.131
2023-09-26T08:10:00,83.442,1.003,2733.874,1290.598
2023-09-26T08:15:00,75.688,1.004,575.898,1212.01
2023-09-26T08:20:00,77.229,0.988,646.246,996.871
2023-09-26T08:25:00,83.582,1.006,818.743,1409.941
2023-09-26T08:30:00,88.771,0.984,1958.744,1616.717
2023-09-26T08:35:00,85.304,0.994,1642.462,1403.161
2023-09-26T08:40:00,87.402,1.003,2323.478,1876.474
2023-09-26T08:45:00,107.428,1.008,2940.139,2329.702
2023-09-26T08:50:00,75.969,0.979,618.551,1040.917
2023-09-26T08:55:00,70.373,0.956,4632.185,959.552
2023-09-26T09:00:00,73.81,1.006,2070.302,1117.762
2023-09-26T09:05:00,69.532,0.988,3341.466,1346.261
