timestamp,rmssd,coverage,low_frequency,high_frequency
2023-09-22T02:35:00,43.002,1.001,1926.498,506.928
2023-09-22T02:40:00,29.216,0.987,1989.81,306.362
2023-09-22T02:45:00,31.189,0.98,638.577,222.835
2023-09-22T02:50:00,29.341,1.005,388.653,224.487
2023-09-22T02:55:00,37.289,0.963,2789.85,727.88
2023-09-22T03:00:00,30.628,0.999,942.898,278.48
2023-09-22T03:05:00,24.569,1.002,1852.302,199.55
2023-09-22T03:10:00,22.34,0.97,1282.458,111.875
2023-09-22T03:15:00,29.265,0.96,1806.574,415.802
2023-09-22T03:20:00,28.031,0.993,725.298,244.534
2023-09-22T03:25:00,26.574,0.991,741.566,179.115
2023-09-22T03:30:00,29.63,0.977,1435.028,261.424
2023-09-22T03:35:00,22.475,0.985,697.451,125.81
2023-09-22T03:40:00,19.022,0.991,157.78,98.786
2023-09-22T03:45:00,18.931,0.981,530.349,93.501
2023-09-22T03:50:00,19.72,0.988,312.793,117.492
2023-09-22T03:55:00,18.513,1.002,139.108,82.452
2023-09-22T04:00:00,18.726,1.001,291.531,100.624
2023-09-22T04:05:00,20.616,0.965,1124.439,111.202
2023-09-22T04:10:00,39.236,1.003,3161.513,299.472
2023-09-22T04:15:00,24.425,1.001,387.804,151.897
2023-09-22T04:20:00,20.859,1.002,292.322,108.911
2023-09-22T04:25:00,21.623,1.002,358.378,128.139
2023-09-22T04:30:00,24.919,1.003,594.965,163.355
2023-09-22T04:35:00,21.78,0.984,549.865,113.359
2023-09-22T04:40:00,61.737,0.881,12588.079,934.558
2023-09-22T04:45:00,41.19,0.98,3215.968,401.973
2023-09-22T04:50:00,17.005,0.986,383.182,53.692
2023-09-22T04:55:00,16.293,1.004,2263.039,150.608
2023-09-22T05:00:00,28.247,0.974,938.437,247.972
2023-09-22T05:05:00,28.154,0.943,1334.232,184.873
2023-09-22T05:10:00,52.265,0.965,2911.947,818.23
2023-09-22T05:15:00,58.101,0.967,2400.91,505.837
2023-09-22T05:20:00,50.99,0.98,4079.723,626.955
2023-09-22T05:25:00,44.367,0.966,1652.416,397.92
2023-09-22T05:30:00,40.122,0.985,473.078,275.524
2023-09-22T05:35:00,52.166,0.985,748.805,667.021
2023-09-22T05:40:00,45.36,0.964,700.022,495.588
2023-09-22T05:45:00,40.726,1.004,910.392,440.755
2023-09-22T05:50:00,43.511,0.956,1641.291,569.888
2023-09-22T05:55:00,38.694,0.976,361.07,448.743
2023-09-22T06:00:00,37.358,0.996,657.727,447.794
2023-09-22T06:05:00,37.497,0.869,2708.932,376.182
2023-09-22T06:10:00,44.917,0.932,4591.192,594.882
2023-09-22T06:15:00,52.17,0.811,11402.338,462.992
2023-09-22T06:20:00,57.48,0.978,2166.861,714.829
2023-09-22T06:25:00,114.28,1.003,3683.889,2544.66
2023-09-22T06:30:00,65.278,0.996,904.668,645.129
2023-09-22T06:35:00,117.239,0.961,6087.707,3164.641
2023-09-22T06:55:00,59.802,0.92,2576.152,627.248
2023-09-22T07:00:00,61.408,0.914,1058.952,453.574
2023-09-22T07:05:00,42.752,0.956,1622.876,493.196
2023-09-22T07:10:00,30.76,0.956,710.151,213.807
2023-09-22T07:15:00,35.492,0.976,3016.641,318.634
2023-09-22T07:20:00,62.271,0.94,4900.629,824.696
2023-09-22T07:25:00,49.281,0.964,803.893,643.62
2023-09-22T07:30:00,53.641,1.005,1830.626,637.021
2023-09-22T07:35:00,47.784,0.98,1028.163,664.331
2023-09-22T07:40:00,60.904,0.994,1904.94,1706.591
2023-09-22T07:50:00,50.668,0.951,1073.806,467.344
2023-09-22T07:55:00,85.955,0.868,1455.915,1737.742
2023-09-22T08:00:00,71.84,0.782,2206.415,1131.417
2023-09-22T08:05:00,70.352,0.99,2859.833,821.586
2023-09-22T08:10:00,59.827,0.884,2356.638,762.805
2023-09-22T08:15:00,44.083,0.988,1804.975,413.776
2023-09-22T08:20:00,45.648,0.944,3110.793,391.522
2023-09-22T08:25:00,79.168,0.8,9417.282,832.726
2023-09-22T08:30:00,50.743,0.797,4037.555,673.394
