timestamp,rmssd,coverage,low_frequency,high_frequency
2023-09-25T02:55:00,72.626,0.942,2075.438,1028.574
2023-09-25T03:00:00,48.379,0.975,647.305,339.3
2023-09-25T03:05:00,80.906,0.89,1204.185,942.441
2023-09-25T03:10:00,51.283,0.919,533.285,567.656
2023-09-25T03:15:00,47.971,0.991,1315.49,537.855
2023-09-25T03:20:00,46.651,0.99,601.674,374.606
2023-09-25T03:25:00,43.873,0.99,516.125,343.477
2023-09-25T03:30:00,42.375,0.99,753.655,410.297
2023-09-25T03:35:00,48.846,1.005,457.466,466.292
2023-09-25T04:05:00,80.279,0.9,5756.805,1470.968
2023-09-25T04:10:00,60.49,1.0,401.004,594.066
2023-09-25T04:20:00,80.171,0.77,11795.761,1288.886
2023-09-25T04:25:00,71.239,1.002,1415.099,693.414
2023-09-25T04:30:00,72.956,0.958,1359.427,851.749
2023-09-25T04:35:00,79.277,0.975,1383.459,805.297
2023-09-25T04:40:00,62.312,0.983,657.633,551.131
2023-09-25T04:45:00,63.499,1.004,925.423,593.866
2023-09-25T04:50:00,55.51,0.992,914.331,620.813
2023-09-25T04:55:00,54.89,0.984,585.742,494.282
2023-09-25T05:00:00,56.27,0.99,500.758,625.201
2023-09-25T05:05:00,64.009,0.989,770.431,723.835
2023-09-25T05:10:00,60.188,0.999,1533.735,750.638
2023-09-25T05:25:00,67.319,0.779,1383.501,733.154
2023-09-25T05:30:00,58.05,1.004,3114.699,686.787
2023-09-25T05:35:00,51.007,0.92,733.513,284.791
2023-09-25T05:45:00,106.354,0.996,4639.835,1728.334
2023-09-25T05:50:00,96.479,0.997,5055.779,1545.662
2023-09-25T05:55:00,102.386,1.005,1165.774,1260.232
2023-09-25T06:00:00,92.513,0.999,919.946,1149.451
2023-09-25T07:05:00,92.844,0.829,4986.742,1481.042
2023-09-25T07:10:00,98.018,0.889,4393.147,1820.427
2023-09-25T07:15:00,150.031,0.986,7861.565,4974.508
2023-09-25T07:20:00,118.398,0.982,4990.813,1925.572
2023-09-25T07:25:00,161.767,0.947,8770.747,4264.996
2023-09-25T07:30:00,172.152,0.914,7454.622,5124.453
2023-09-25T07:35:00,149.387,1.002,9424.453,2898.199
2023-09-25T07:40:00,125.028,0.753,3350.972,2823.987
2023-09-25T08:00:00,87.651,0.833,4758.426,1201.082
2023-09-25T08:10:00,121.731,0.704,9553.57,1128.679
