timestamp,rmssd,coverage,low_frequency,high_frequency
2023-09-24T01:40:00,41.164,0.722,535.879,150.342
2023-09-24T01:45:00,40.579,1.002,288.552,241.279
2023-09-24T01:50:00,33.666,0.934,451.094,248.361
2023-09-24T01:55:00,27.741,0.908,484.493,172.455
2023-09-24T02:00:00,29.792,0.993,1762.111,182.552
2023-09-24T02:05:00,33.993,1.002,633.612,210.454
2023-09-24T02:10:00,35.211,0.927,946.004,221.261
2023-09-24T02:15:00,29.664,1.002,634.084,180.033
2023-09-24T02:20:00,26.673,0.838,439.708,191.973
2023-09-24T02:25:00,33.249,0.739,864.104,226.151
2023-09-24T02:30:00,26.384,0.957,280.928,151.91
2023-09-24T02:35:00,23.369,1.005,246.214,98.275
2023-09-24T02:40:00,26.094,0.986,713.13,154.947
2023-09-24T02:45:00,34.476,0.977,3265.787,311.219
2023-09-24T02:50:00,35.046,0.956,1668.946,517.558
2023-09-24T02:55:00,23.556,0.978,365.443,129.978
2023-09-24T03:00:00,28.889,1.004,315.839,194.726
2023-09-24T03:05:00,34.782,0.893,6439.124,199.695
2023-09-24T03:10:00,42.045,0.974,888.347,384.162
2023-09-24T03:15:00,37.254,1.003,405.475,295.763
2023-09-24T03:20:00,30.451,1.001,539.354,191.281
2023-09-24T03:25:00,28.193,0.998,295.865,191.894
2023-09-24T03:30:00,27.126,0.938,282.887,131.551
2023-09-24T03:35:00,44.919,0.944,1888.292,303.993
2023-09-24T03:40:00,42.201,1.001,750.85,341.534
2023-09-24T03:45:00,45.961,0.917,6853.685,404.688
2023-09-24T03:50:00,38.655,0.996,578.506,307.675
2023-09-24T03:55:00,34.583,1.0,600.033,261.305
2023-09-24T04:00:00,32.202,0.994,279.154,247.373
2023-09-24T04:05:00,33.572,1.003,595.728,271.531
2023-09-24T04:10:00,34.119,0.999,917.771,223.723
2023-09-24T04:15:00,33.223,0.931,406.976,283.481
2023-09-24T04:20:00,50.513,1.002,4514.928,553.464
2023-09-24T04:25:00,20.941,1.0,2239.151,269.076
2023-09-24T04:30:00,26.676,0.936,454.371,135.611
2023-09-24T04:35:00,16.826,1.001,198.985,78.296
2023-09-24T04:40:00,19.542,1.0,635.624,152.118
2023-09-24T04:45:00,27.279,0.99,1221.441,161.695
2023-09-24T04:50:00,25.045,0.974,783.205,135.128
2023-09-24T04:55:00,34.004,0.992,3051.489,337.673
2023-09-24T05:00:00,38.484,0.917,965.695,353.748
2023-09-24T05:05:00,47.14,0.96,1891.472,364.809
2023-09-24T05:10:00,37.646,0.967,1820.501,263.638
2023-09-24T05:15:00,45.249,0.986,1120.651,678.356
2023-09-24T05:20:00,39.262,1.005,2045.427,309.334
2023-09-24T05:25:00,33.416,1.001,860.821,307.302
2023-09-24T05:30:00,36.153,0.991,816.785,362.735
2023-09-24T05:35:00,46.857,0.932,4004.455,629.82
2023-09-24T05:40:00,68.98,0.912,1504.789,908.437
2023-09-24T05:45:00,53.007,0.952,2023.712,369.432
2023-09-24T05:50:00,54.02,1.006,1105.268,705.959
2023-09-24T05:55:00,38.329,0.999,567.982,332.01
2023-09-24T06:00:00,37.483,0.991,1303.862,330.399
2023-09-24T06:05:00,31.736,1.001,772.995,229.851
2023-09-24T06:10:00,28.539,1.003,345.905,196.883
2023-09-24T06:15:00,29.622,0.996,409.728,200.902
2023-09-24T06:20:00,41.585,0.888,2384.357,255.399
2023-09-24T06:25:00,41.633,1.0,4009.346,389.452
2023-09-24T06:30:00,72.732,0.83,10158.909,1127.168
2023-09-24T06:35:00,50.411,1.004,3473.024,750.553
2023-09-24T06:40:00,50.05,0.924,1852.36,554.321
2023-09-24T06:45:00,24.316,0.908,788.958,93.643
2023-09-24T06:50:00,53.372,1.003,2631.632,732.725
2023-09-24T06:55:00,37.142,0.909,2135.852,210.282
2023-09-24T07:00:00,45.45,0.97,3179.185,400.793
2023-09-24T07:05:00,55.646,0.959,3048.467,926.401
2023-09-24T07:10:00,41.666,0.987,3041.261,322.537
2023-09-24T07:15:00,46.057,0.945,4977.651,409.926
2023-09-24T07:20:00,39.798,1.002,3793.498,312.4
2023-09-24T07:25:00,36.772,1.006,1096.913,276.26
2023-09-24T07:30:00,35.769,0.906,674.116,260.632
2023-09-24T07:35:00,47.28,0.992,2406.338,358.107
2023-09-24T07:40:00,34.125,0.99,903.135,261.272
2023-09-24T07:45:00,30.96,0.991,576.082,178.868
2023-09-24T07:50:00,59.95,0.79,2820.956,685.445
2023-09-24T07:55:00,52.455,1.002,4175.551,770.921
2023-09-24T08:00:00,30.247,0.987,705.902,247.054
2023-09-24T08:05:00,34.938,0.994,748.041,293.714
2023-09-24T08:10:00,33.895,1.002,965.383,334.884
2023-09-24T08:15:00,44.931,0.994,865.752,355.913
2023-09-24T08:20:00,56.021,1.003,1197.017,802.322
2023-09-24T08:25:00,41.493,0.974,2768.731,365.258
2023-09-24T08:30:00,55.832,0.999,1336.715,729.598
2023-09-24T08:35:00,55.259,0.99,1084.937,720.33
2023-09-24T08:40:00,55.938,0.924,7996.941,759.808
2023-09-24T08:45:00,55.647,0.977,1321.728,582.134
2023-09-24T08:50:00,62.212,0.973,1382.546,689.498
2023-09-24T08:55:00,56.645,1.002,1631.325,592.589
2023-09-24T09:00:00,49.885,0.993,906.612,604.154
2023-09-24T09:05:00,51.167,1.004,1931.771,533.874
2023-09-24T09:10:00,50.75,1.002,1952.512,549.719
2023-09-24T09:15:00,56.512,0.968,747.602,815.466
2023-09-24T09:20:00,60.083,0.845,1034.784,898.942
